Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
15.04.2023 08:30,Colonia,Mainz,1,1,1.05,0.84,56%,44%,12,5,4,1,8,4,,,19,10,3,3,1,3,26,27,0,3,10,15,,,3,2,421,350,324,238,,,112,129,42,39,0
15.04.2023 08:30,RB Leipzig,Augsburgo,3,2,1.53,0.93,58%,42%,13,14,6,3,7,11,,,14,12,3,5,5,3,14,14,1,3,8,11,,,2,3,643,417,547,346,,,131,92,32,42,1
15.04.2023 08:30,Stuttgart,Borussia Dortmund,3,3,1.39,2.03,45%,55%,12,15,5,6,7,9,,,12,6,5,7,2,1,12,18,3,2,7,14,1,0,5,3,465,626,409,551,,,81,133,54,53,0
14.04.2023 13:30,Schalke,Hertha BSC,5,2,2.58,1.72,54%,46%,14,11,7,5,7,6,,,21,15,7,8,3,4,18,31,3,2,12,19,,,2,3,288,274,193,181,,,96,95,30,45,3
09.04.2023 12:30,Hoffenheim,Schalke,2,0,2.56,0.88,47%,53%,15,10,4,3,11,7,,,13,16,9,8,2,1,28,25,3,2,14,13,,,3,0,270,336,197,262,,,103,102,54,52,2
09.04.2023 10:30,Bochum,Stuttgart,2,3,2.46,2.65,55%,45%,11,14,5,7,6,7,,,7,14,7,4,2,0,25,26,4,3,12,8,,,3,3,460,366,359,278,,,119,105,43,46,-1
09.04.2023 08:30,Borussia M'gladbach,Wolfsburgo,2,0,1.66,1.04,44%,56%,13,9,6,2,7,7,,,13,14,5,8,2,2,20,17,2,4,12,11,,,0,1,378,487,299,404,,,76,141,33,51,2
08.04.2023 11:30,Hertha BSC,RB Leipzig,0,1,0.63,2.29,35%,65%,11,18,1,6,10,12,,,17,11,4,4,0,3,33,32,5,1,12,13,,,4,3,221,542,150,466,,,106,135,33,52,-1
08.04.2023 08:30,Augsburgo,Colonia,1,3,1.02,2.05,52%,48%,13,11,1,5,12,6,,,19,9,6,1,4,8,38,22,2,0,5,11,,,3,4,421,382,312,298,,,112,108,65,43,-2
08.04.2023 08:30,Bayer Leverkusen,Eintracht Frankfurt,3,1,2.34,1.24,44%,56%,13,9,8,3,5,6,,,12,10,2,5,1,0,13,20,2,5,9,13,,,1,5,428,578,342,480,,,104,128,21,40,2
08.04.2023 08:30,Borussia Dortmund,Unión Berlín,2,1,2.92,0.33,60%,40%,14,7,6,2,8,5,,,13,7,8,0,0,4,21,23,1,4,8,11,,,5,2,568,327,500,249,,,141,77,66,49,1
08.04.2023 08:30,Friburgo,Bayern Múnich,0,1,1.22,3.34,36%,64%,10,23,2,8,8,15,,,17,12,2,6,1,3,13,11,7,2,10,14,,,2,2,329,677,224,589,,,91,135,33,59,-1
08.04.2023 08:30,Mainz,Werder Bremen,2,2,1.68,0.87,49%,51%,16,9,10,4,6,5,,,23,14,1,2,3,1,22,10,2,8,11,22,,,1,5,430,416,318,320,,,130,104,67,27,0
02.04.2023 10:30,Werder Bremen,Hoffenheim,1,2,1.04,1.47,53%,47%,12,8,5,2,7,6,,,13,18,1,6,5,2,15,17,0,4,11,16,,,3,4,503,342,408,270,,,139,128,43,45,-1
02.04.2023 08:30,Colonia,Borussia M'gladbach,0,0,0.74,0.72,52%,48%,12,8,5,2,7,6,,,9,17,11,1,1,2,31,22,2,5,18,8,,,3,3,430,442,357,367,,,115,71,64,21,0
01.04.2023 11:30,Bayern Múnich,Borussia Dortmund,4,2,2.95,1.23,48%,52%,16,10,9,4,7,6,,,7,15,6,2,5,0,9,16,2,5,11,7,,,1,1,534,564,459,491,,,106,127,46,67,2
01.04.2023 08:30,Friburgo,Hertha BSC,1,1,0.92,2.31,58%,42%,16,10,8,3,8,7,,,12,8,2,2,2,2,20,18,2,7,7,11,,,1,1,499,356,424,281,,,110,77,44,36,0
01.04.2023 08:30,RB Leipzig,Mainz,0,3,0.68,3.08,69%,31%,12,19,3,7,9,12,,,16,13,3,4,4,0,24,14,4,3,13,20,,,3,3,712,261,619,191,,,148,99,51,29,-3
01.04.2023 08:30,Schalke,Bayer Leverkusen,0,3,0.84,3.06,48%,52%,12,18,3,10,9,8,,,14,22,7,5,3,1,20,27,7,3,20,13,,,2,1,338,382,250,302,,,108,87,54,41,-3
01.04.2023 08:30,Unión Berlín,Stuttgart,3,0,2.08,1.69,42%,58%,13,17,5,8,8,9,,,10,17,3,5,5,2,29,16,8,2,11,12,,,1,1,302,507,208,426,,,102,122,40,33,3
01.04.2023 08:30,Wolfsburgo,Augsburgo,2,2,4.32,0.59,68%,32%,23,5,5,2,18,3,,,15,12,4,7,3,3,16,17,1,3,9,15,,,3,2,631,285,562,208,,,136,64,63,22,0
31.03.2023 13:30,Eintracht Frankfurt,Bochum,1,1,3.06,2.32,64%,36%,18,8,7,2,11,6,,,11,15,15,2,2,0,25,16,1,6,14,13,,,3,2,589,219,489,134,,,137,76,94,20,0
19.03.2023 13:30,Mainz,Friburgo,1,1,1.03,1.77,47%,53%,10,11,6,5,4,6,,,8,19,3,5,2,0,31,23,4,5,18,10,,,2,3,366,413,249,289,,,115,126,42,51,0
19.03.2023 11:30,Bayer Leverkusen,Bayern Múnich,2,1,2.10,0.84,44%,56%,12,11,6,6,6,5,,,10,13,5,3,3,1,17,22,5,4,10,11,,,2,3,401,572,333,498,,,106,135,33,55,1
19.03.2023 09:30,Unión Berlín,Eintracht Frankfurt,2,0,1.31,2.76,41%,59%,14,19,3,4,11,15,,,11,19,3,7,1,0,19,22,4,1,19,15,,,3,2,271,495,195,421,,,99,124,50,55,2
18.03.2023 12:30,Borussia Dortmund,Colonia,6,1,3.27,1.59,61%,39%,11,11,8,5,3,6,,,10,7,1,6,0,0,15,13,4,2,7,10,,,1,0,727,398,654,338,,,126,75,54,31,5
18.03.2023 09:30,Augsburgo,Schalke,1,1,0.51,1.48,47%,53%,9,13,3,5,6,8,,,14,11,9,6,1,0,30,22,4,2,11,14,1,0,4,4,261,347,180,281,,,79,114,37,62,0
18.03.2023 09:30,Bochum,RB Leipzig,1,0,0.86,1.79,39%,61%,8,21,2,8,6,13,,,9,11,2,7,0,0,18,27,8,1,10,8,,,2,3,273,510,197,444,,,99,130,23,63,1
18.03.2023 09:30,Hoffenheim,Hertha BSC,3,1,2.77,0.82,50%,50%,15,11,7,5,8,6,,,10,15,8,9,3,1,38,25,4,4,10,11,1,0,0,3,288,326,216,254,,,101,87,50,44,2
18.03.2023 09:30,Stuttgart,Wolfsburgo,0,1,0.43,0.68,57%,43%,12,9,2,3,10,6,,,10,15,3,8,4,2,25,20,2,2,10,8,,,1,0,490,357,426,286,,,116,91,53,59,-1
17.03.2023 14:30,Borussia M'gladbach,Werder Bremen,2,2,3.09,0.80,61%,39%,21,6,9,3,12,3,,,13,13,6,5,4,0,15,17,1,7,9,12,,,1,1,548,358,460,276,,,72,65,39,36,0
12.03.2023 13:30,Wolfsburgo,Unión Berlín,1,1,1.57,1.42,55%,45%,15,11,6,2,9,9,,,13,9,3,5,1,1,21,20,1,5,11,14,,,1,4,471,343,386,247,,,112,112,38,36,0
12.03.2023 11:30,Werder Bremen,Bayer Leverkusen,2,3,1.87,1.29,53%,47%,12,13,6,5,6,8,,,12,12,2,3,5,1,14,19,2,4,12,12,,,2,1,503,458,397,344,,,163,89,33,23,-1
12.03.2023 09:30,Friburgo,Hoffenheim,2,1,0.89,0.75,58%,42%,9,12,3,1,6,11,,,27,11,2,2,1,2,23,30,0,1,11,25,0,1,2,5,459,285,367,214,,,103,110,25,51,1
11.03.2023 12:30,Schalke,Borussia Dortmund,2,2,1.68,2.05,38%,62%,10,20,5,8,5,12,,,9,17,3,6,1,1,19,31,6,3,16,8,,,1,1,255,538,179,463,,,98,118,30,42,0
