Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HDC,ADC,HDistancia Cubierta (km),ADistancia Cubierta (km),Resultado,,,
11.11.2023 09:30,Augsburgo,Hoffenheim,1,1,1.41,1.29,40%,60%,11,12,6,6,5,6,,,14,13,3,5,3,2,20,19,5,5,9,11,,,1,2,267,564,206,491,,,104,94,55,43,,,,,,,,
11.11.2023 09:30,Bayern Múnich,Heidenheim,4,2,2.28,1.35,68%,32%,18,7,8,2,10,5,,,7,8,7,2,0,1,19,17,0,4,8,8,,,1,0,787,295,708,215,,,165,100,56,24,,,,,,,,
11.11.2023 09:30,Darmstadt,Mainz,0,0,0.63,0.74,57%,43%,9,9,3,0,6,9,,,16,21,0,5,0,1,21,29,0,3,20,15,,,3,3,516,374,428,281,,,93,101,20,59,,,,,,,,
11.11.2023 09:30,Stuttgart,Borussia Dortmund,2,1,4.39,1.12,57%,43%,22,5,10,1,12,4,,,14,15,6,1,2,1,15,16,0,8,13,16,,,2,3,613,442,546,358,,,138,89,66,16,,,,,,,,
10.11.2023 14:30,Borussia M'gladbach,Wolfsburgo,4,0,1.98,0.61,48%,52%,16,12,8,4,8,8,,,13,8,8,5,2,1,21,14,4,4,7,12,,,1,3,496,553,417,487,,,57,139,28,48,,,,,,,,
05.11.2023 11:30,Heidenheim,Stuttgart,2,0,2.01,2.92,36%,64%,20,15,3,2,17,13,,,14,8,9,6,2,2,25,19,2,1,7,13,,,2,2,252,619,161,532,,,83,119,41,50,,,,,,,,
05.11.2023 09:30,Wolfsburgo,Werder Bremen,2,2,2.03,1.71,53%,47%,15,13,5,4,10,9,,,13,6,5,2,1,6,14,13,2,3,14,17,1,0,4,1,554,419,482,356,,,113,77,54,28,,,,,,,,
04.11.2023 12:30,Borussia Dortmund,Bayern Múnich,0,4,1.08,3.73,50%,50%,15,14,1,8,14,6,,,12,14,3,2,0,6,13,14,4,1,14,6,,,3,2,495,521,420,469,,,127,92,52,27,,,,,,,,
04.11.2023 09:30,Colonia,Augsburgo,1,1,2.62,2.08,56%,44%,28,18,12,3,16,15,,,10,10,10,2,0,1,25,18,2,11,10,10,,,1,4,466,334,396,247,,,121,91,72,37,,,,,,,,
04.11.2023 09:30,Friburgo,Borussia M'gladbach,3,3,4.38,1.69,57%,43%,15,10,8,5,7,5,,,12,6,8,2,1,3,24,19,2,5,7,10,,,2,2,603,425,513,354,,,173,65,65,28,,,,,,,,
04.11.2023 09:30,Hoffenheim,Bayer Leverkusen,2,3,1.82,1.46,48%,52%,12,10,7,4,5,6,,,12,6,4,3,0,2,8,8,1,5,6,10,,,3,2,507,564,441,496,,,88,117,47,50,,,,,,,,
04.11.2023 09:30,Mainz,RB Leipzig,2,0,1.53,0.44,36%,64%,10,10,3,2,7,8,,,9,18,2,7,5,0,21,31,2,1,13,9,,,3,1,283,638,201,530,,,89,131,23,55,,,,,,,,
04.11.2023 09:30,Union Berlin,Eintracht Frankfurt,0,3,0.51,1.49,48%,52%,10,4,3,3,7,1,,,11,13,9,1,3,3,24,14,0,3,13,8,,,0,1,489,532,401,452,,,126,82,85,36,,,,,,,,
03.11.2023 14:30,Darmstadt,Bochum,1,2,0.94,0.86,57%,43%,15,9,4,4,11,5,,,18,9,11,2,2,2,29,32,2,3,7,16,1,0,2,5,414,286,294,192,,,97,107,53,28,,,,,,,,
29.10.2023 11:30,Bayer Leverkusen,Friburgo,2,1,2.49,0.94,67%,33%,19,10,4,4,15,6,,,10,10,11,4,1,0,14,15,3,2,9,10,,,0,2,711,286,647,217,,,143,77,78,36,,,,,,,,
29.10.2023 09:30,Eintracht Frankfurt,Borussia Dortmund,3,3,2.92,1.87,42%,58%,11,14,7,4,4,10,,,12,13,0,4,4,4,21,18,1,4,11,10,,,3,2,395,579,300,510,,,79,136,41,57,,,,,,,,
28.10.2023 11:30,RB Leipzig,Colonia,6,0,3.75,0.77,60%,40%,24,6,13,1,11,5,,,14,9,11,1,1,2,31,12,1,7,8,13,0,1,2,4,562,338,495,287,,,110,63,52,17,,,,,,,,
28.10.2023 08:30,Augsburgo,Wolfsburgo,3,2,1.48,1.19,45%,55%,9,13,5,6,4,7,,,,,5,5,6,2,,,4,2,19,14,1,0,6,4,339,504,258,428,,,83,96,40,46,,,,,,,,
28.10.2023 08:30,Bayern Múnich,Darmstadt,8,0,5.81,0.69,55%,45%,28,10,16,4,12,6,,,,,7,1,2,1,,,4,8,15,13,1,2,1,2,499,431,454,375,,,122,68,61,33,,,,,,,,
28.10.2023 08:30,Borussia M'gladbach,Heidenheim,2,1,0.78,0.47,54%,46%,11,8,6,3,5,5,,,,,6,4,1,0,,,2,4,5,18,,,0,3,585,496,509,427,,,104,108,37,53,,,,,,,,
28.10.2023 08:30,Stuttgart,Hoffenheim,2,3,3.61,1.75,68%,32%,23,7,10,5,13,2,,,12,14,6,0,2,1,21,14,2,8,13,11,,,2,1,718,261,632,172,,,171,93,69,21,,,,,,,,
28.10.2023 08:30,Werder Bremen,Union Berlin,2,0,0.64,0.42,57%,43%,9,7,3,2,6,5,,,19,17,3,3,3,5,20,26,2,1,12,14,0,1,1,4,563,431,490,336,,,106,119,36,51,,,,,,,,
27.10.2023 13:30,Bochum,Mainz,2,2,1.65,0.38,52%,48%,10,10,4,4,6,6,,,21,14,5,4,2,2,27,27,2,2,14,21,,,3,3,354,342,230,246,,,128,103,39,16,,,,,,,,
22.10.2023 10:30,Heidenheim,Augsburgo,2,5,3.13,3.29,55%,45%,16,9,5,6,11,3,,,13,11,6,5,1,1,24,28,1,3,11,11,,,3,2,556,365,478,296,,,138,90,50,33,,,,,,,,
22.10.2023 08:30,Colonia,Borussia M'gladbach,3,1,1.74,0.11,60%,40%,21,5,8,2,13,3,,,11,14,8,3,1,0,23,24,1,5,13,10,0,1,0,2,523,357,445,271,,,128,80,65,21,,,,,,,,
21.10.2023 11:30,Mainz,Bayern Múnich,1,3,1.09,1.36,41%,59%,14,12,3,5,11,7,,,12,13,2,7,1,1,11,18,2,2,12,10,,,3,2,353,598,286,526,,,95,117,46,60,,,,,,,,
21.10.2023 08:30,Darmstadt,RB Leipzig,1,3,1.87,2.53,55%,45%,16,10,3,7,13,3,,,14,14,6,0,2,4,19,18,4,2,16,12,,,6,3,420,309,340,219,,,108,67,60,22,,,,,,,,
21.10.2023 08:30,Friburgo,Bochum,2,1,2.49,1.66,54%,46%,15,13,5,5,10,8,,,16,15,5,2,4,2,13,20,4,3,11,16,,,3,4,509,377,422,287,,,118,84,48,43,,,,,,,,
21.10.2023 08:30,Hoffenheim,Eintracht Frankfurt,1,3,1.25,2.71,54%,46%,14,13,5,5,9,8,,,5,12,6,3,5,1,16,13,2,4,7,7,,,3,0,567,469,482,380,,,91,46,46,23,,,,,,,,
21.10.2023 08:30,Union Berlin,Stuttgart,0,3,1.19,1.63,43%,57%,10,10,2,5,8,5,,,12,17,4,2,4,0,23,23,2,2,12,12,,,2,1,415,579,328,504,,,118,109,54,38,,,,,,,,
21.10.2023 08:30,Wolfsburgo,Bayer Leverkusen,1,2,1.59,1.49,46%,54%,18,13,7,6,11,7,,,15,16,4,3,1,2,14,17,4,6,15,14,,,3,5,437,624,354,543,,,94,120,25,55,,,,,,,,
20.10.2023 13:30,Borussia Dortmund,Werder Bremen,1,0,2.71,0.44,58%,42%,22,6,5,1,17,5,,,10,5,10,4,0,0,17,17,1,4,5,10,,,1,5,577,413,508,330,,,137,72,70,23,,,,,,,,
08.10.2023 12:30,Eintracht Frankfurt,Heidenheim,2,0,1.90,0.86,51%,49%,12,7,6,2,6,5,,,12,17,3,6,3,3,15,28,2,4,14,10,,,2,3,494,485,395,383,,,116,128,51,36,,,,,,,,
08.10.2023 10:30,Bayern Múnich,Friburgo,3,0,2.50,0.08,68%,32%,21,2,5,0,16,2,,,9,10,7,1,3,3,8,14,0,2,7,8,,,1,0,776,314,706,232,,,155,69,72,14,,,,,,,,
08.10.2023 08:30,Bayer Leverkusen,Colonia,3,0,4.02,1.50,61%,39%,21,7,10,3,11,4,,,5,7,11,4,2,0,9,7,3,7,9,7,,,3,0,747,408,687,343,,,135,45,70,25,,,,,,,,
07.10.2023 11:30,Werder Bremen,Hoffenheim,2,3,0.94,1.79,49%,51%,13,11,3,4,10,7,,,7,14,4,4,2,4,15,10,1,1,15,6,,,5,4,459,498,367,398,,,113,146,43,34,,,,,,,,
07.10.2023 08:30,Augsburgo,Darmstadt,1,2,,,49%,51%,17,17,3,5,14,12,,,13,18,4,4,6,1,23,12,3,2,13,12,,,4,2,371,419,282,339,,,105,72,50,25,,,,,,,,
07.10.2023 08:30,Borussia Dortmund,Union Berlin,4,2,,,66%,34%,12,12,7,5,5,7,,,20,7,4,6,1,5,17,19,3,3,7,15,,,1,1,602,268,536,198,,,137,62,39,25,,,,,,,,
07.10.2023 08:30,RB Leipzig,Bochum,0,0,,,66%,34%,18,9,5,2,13,7,,,14,14,9,1,1,3,21,18,2,5,10,13,,,2,4,663,195,597,127,,,152,60,75,16,,,,,,,,
07.10.2023 08:30,Stuttgart,Wolfsburgo,3,1,,,57%,43%,13,12,7,5,6,7,,,13,19,5,6,5,0,18,15,4,4,13,14,,,1,3,568,380,488,296,,,111,94,50,27,,,,,,,,
06.10.2023 13:30,Borussia M'gladbach,Mainz,2,2,2.24,1.06,58%,42%,20,13,9,7,11,6,,,10,10,10,3,1,1,25,20,5,7,9,9,,,3,1,566,384,470,296,,,153,86,45,21,,,,,,,,
01.10.2023 10:30,Friburgo,Augsburgo,2,0,1.09,1.58,54%,46%,7,13,3,4,4,9,,,19,13,2,3,0,2,24,25,4,1,13,17,,,2,2,462,401,356,309,,,100,121,25,45,,,,,,,,
01.10.2023 08:30,Darmstadt,Werder Bremen,4,2,2.31,1.76,44%,56%,14,9,5,6,9,3,,,23,22,2,4,2,5,17,23,4,1,19,19,,,3,2,357,472,257,373,,,80,119,30,39,,,,,,,,
30.09.2023 11:30,RB Leipzig,Bayern Múnich,2,2,0.94,1.85,37%,63%,7,11,2,5,5,6,,,13,7,5,1,1,1,18,22,3,0,10,11,,,2,5,345,685,276,603,,,90,151,26,64,,,,,,,,
30.09.2023 08:30,Bochum,Borussia M'gladbach,1,3,1.95,2.62,57%,43%,23,25,5,9,18,16,,,14,14,5,10,2,3,22,15,6,4,12,12,,,2,3,415,286,303,189,,,142,78,74,44,,,,,,,,
30.09.2023 08:30,Colonia,Stuttgart,0,2,1.38,2.61,40%,60%,14,18,5,4,9,14,,,8,16,8,4,2,1,23,23,2,5,16,8,,,2,1,365,583,296,513,,,89,121,57,50,,,,,,,,
30.09.2023 08:30,Heidenheim,Union Berlin,1,0,0.51,2.43,48%,52%,9,19,4,8,5,11,,,16,12,5,7,1,1,25,12,8,3,11,14,,,1,2,405,416,320,333,,,91,113,34,56,,,,,,,,
30.09.2023 08:30,Mainz,Bayer Leverkusen,0,3,0.69,0.88,44%,56%,10,6,3,3,7,3,,,12,14,3,1,3,1,22,15,1,3,13,11,,,4,1,478,605,397,526,,,112,132,66,25,,,,,,,,
30.09.2023 08:30,Wolfsburgo,Eintracht Frankfurt,2,0,3.84,1.29,55%,45%,19,7,7,3,12,4,,,20,15,7,4,4,3,22,18,3,5,11,18,0,1,1,6,450,365,387,288,,,120,90,46,28,,,,,,,,
29.09.2023 13:30,Hoffenheim,Borussia Dortmund,1,3,2.10,1.85,50%,50%,15,6,5,5,10,1,,,17,14,4,3,0,2,25,16,2,4,14,16,0,1,3,4,416,388,354,307,,,124,89,56,35,,,,,,,,
24.09.2023 10:30,Eintracht Frankfurt,Friburgo,0,0,0.95,0.60,55%,45%,13,9,5,2,8,7,,,8,10,7,3,0,4,23,22,2,5,12,5,,,4,2,529,393,444,291,,,107,109,72,46,,,,,,,,
24.09.2023 08:30,Bayer Leverkusen,Heidenheim,4,1,3.48,0.10,67%,33%,20,1,10,1,10,0,,,7,8,7,2,2,0,16,20,0,6,9,10,,,1,1,803,325,731,250,,,162,56,77,17,,,,,,,,
23.09.2023 11:30,Werder Bremen,Colonia,2,1,1.87,1.62,46%,54%,17,13,6,5,11,8,,,16,17,9,8,0,2,19,24,4,4,18,16,,,2,1,403,435,314,339,,,116,117,34,48,,,,,,,,
23.09.2023 08:30,Augsburgo,Mainz,2,1,1.19,0.72,45%,55%,6,13,3,3,3,10,,,18,18,3,4,1,2,13,24,2,1,16,14,1,0,2,3,330,461,251,387,,,108,121,36,51,,,,,,,,
23.09.2023 08:30,Bayern Múnich,Bochum,7,0,5.22,0.14,60%,40%,26,4,16,1,10,3,,,9,9,8,1,2,2,,,1,9,8,10,,,0,1,571,348,503,268,,,114,84,81,33,,,,,,,,
23.09.2023 08:30,Borussia Dortmund,Wolfsburgo,1,0,1.75,0.47,61%,39%,18,8,4,2,14,6,,,14,6,5,3,2,2,13,23,2,3,9,14,,,0,1,609,320,536,250,,,124,79,61,33,,,,,,,,
23.09.2023 08:30,Borussia M'gladbach,RB Leipzig,0,1,0.83,0.92,47%,53%,13,8,1,4,12,4,,,9,16,11,6,2,2,18,18,3,1,14,7,,,1,1,420,541,344,454,,,101,120,40,35,,,,,,,,
23.09.2023 08:30,Union Berlin,Hoffenheim,0,2,1.89,2.19,55%,45%,22,11,6,4,16,7,,,15,11,11,6,0,1,36,18,2,6,11,13,,,1,3,460,355,368,277,,,123,87,66,34,,,,,,,,
22.09.2023 13:30,Stuttgart,Darmstadt,3,1,2.54,0.15,54%,46%,18,3,11,0,7,3,,,12,8,5,4,1,2,18,10,0,8,7,12,,,1,6,643,467,566,378,,,149,89,41,32,,,,,,,,
17.09.2023 10:30,Darmstadt,Borussia M'gladbach,3,3,1.35,3.69,41%,59%,15,21,8,10,7,11,,,9,15,6,6,4,1,15,18,7,5,12,8,1,0,1,1,314,545,239,485,,,75,115,33,52,,,,,,,,
17.09.2023 08:30,Heidenheim,Werder Bremen,4,2,2.17,2.74,48%,52%,19,11,4,4,15,7,,,11,25,10,1,1,2,10,7,2,0,21,9,,,1,1,285,474,217,393,,,85,108,39,43,,,,,,,,
16.09.2023 11:30,Bochum,Eintracht Frankfurt,1,1,2.00,0.98,49%,51%,24,8,10,6,14,2,,,14,16,8,2,0,1,23,22,5,9,13,14,,,3,2,406,429,300,317,,,152,102,68,19,,,,,,,,
16.09.2023 08:30,Colonia,Hoffenheim,1,3,0.86,1.06,54%,46%,17,17,7,5,10,12,,,14,17,13,4,3,1,26,21,2,6,15,14,1,0,4,4,414,345,323,252,,,109,89,74,39,,,,,,,,
16.09.2023 08:30,Friburgo,Borussia Dortmund,2,4,0.98,1.86,46%,54%,14,14,4,6,10,8,,,18,14,6,8,3,2,17,11,2,2,12,16,1,0,2,3,431,444,345,373,,,91,77,34,37,,,,,,,,
16.09.2023 08:30,Mainz,Stuttgart,1,3,1.35,2.16,43%,57%,15,16,3,6,12,10,,,10,12,6,4,1,1,26,26,3,2,12,9,,,1,2,358,554,272,476,,,76,147,48,47,,,,,,,,
16.09.2023 08:30,RB Leipzig,Augsburgo,3,0,0.81,2.71,54%,46%,9,16,6,4,3,12,,,13,18,1,6,2,1,14,18,4,3,16,12,,,,,483,376,415,312,,,96,84,25,42,,,,,,,,
16.09.2023 08:30,Wolfsburgo,Union Berlin,2,1,0.53,2.11,44%,56%,8,17,3,5,5,12,,,6,9,3,7,3,1,19,15,4,1,6,8,,,1,0,395,538,312,452,,,91,136,40,60,,,,,,,,
15.09.2023 13:30,Bayern Múnich,Bayer Leverkusen,2,2,2.62,1.83,53%,47%,15,13,9,5,6,8,,,9,7,7,4,2,3,12,18,3,7,6,6,,,0,3,596,565,525,492,,,152,110,59,51,,,,,,,,
03.09.2023 10:30,Union Berlin,RB Leipzig,0,3,0.31,0.88,36%,64%,4,14,1,7,3,7,,,11,16,3,7,1,2,24,20,4,1,16,9,1,0,3,1,310,622,233,547,,,91,148,37,37,,,,,,,,
03.09.2023 08:30,Eintracht Frankfurt,Colonia,1,1,1.29,0.92,60%,40%,13,6,3,2,10,4,,,10,12,8,1,2,0,27,17,1,2,10,10,,,1,3,708,363,623,280,,,127,81,52,30,,,,,,,,
02.09.2023 11:30,Borussia M'gladbach,Bayern Múnich,1,2,0.45,2.21,38%,62%,8,25,3,9,5,16,,,21,5,1,15,0,1,9,21,7,2,5,20,,,0,2,331,615,258,547,,,54,168,23,99,,,,,,,,
02.09.2023 08:30,Augsburgo,Bochum,2,2,2.63,1.49,42%,58%,11,22,3,9,8,13,,,16,16,3,5,1,3,24,22,7,1,15,13,,,2,2,251,432,156,333,,,78,123,26,38,,,,,,,,
02.09.2023 08:30,Bayer Leverkusen,Darmstadt,5,1,3.48,0.95,67%,33%,24,5,13,1,11,4,,,12,9,4,2,1,1,16,12,0,8,8,11,,,3,2,760,274,692,203,,,163,47,81,16,,,,,,,,
02.09.2023 08:30,Hoffenheim,Wolfsburgo,3,1,1.97,1.72,43%,57%,11,14,5,7,6,7,,,17,13,3,3,4,0,13,18,6,2,12,15,,,2,2,345,509,266,448,,,82,116,40,43,,,,,,,,
02.09.2023 08:30,Stuttgart,Friburgo,5,0,2.56,1.14,50%,50%,13,11,6,5,7,6,,,8,6,2,4,1,1,14,14,5,1,9,10,,,1,1,502,540,442,459,,,95,104,44,32,,,,,,,,
02.09.2023 08:30,Werder Bremen,Mainz,4,0,3.19,0.97,48%,52%,12,12,6,3,6,9,,,16,15,1,7,1,4,19,31,3,2,18,14,,,2,2,342,414,263,315,,,109,145,35,55,,,,,,,,
