Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
22.07.2023 14:00,Flamengo,América-MG,1,1,,,62%,38%,14,16,6,4,5,7,3,5,15,12,12,7,4,4,24,14,3,5,8,13,,,2,4,613,326,521,248,,,80,70,56,38,0
22.07.2023 14:00,Palmeiras,Fortaleza,3,1,,,57%,43%,13,12,5,6,7,3,1,3,28,16,4,4,1,1,19,21,5,2,16,28,,,3,6,441,266,375,189,,,79,67,38,30,2
17.07.2023 18:00,Goiás,Atlético-MG,0,0,1.79,0.26,42%,58%,15,7,3,1,6,2,6,4,14,15,6,4,0,0,21,26,1,3,16,14,0,1,5,4,325,537,257,451,,,102,106,47,38,0
16.07.2023 16:30,Athletico-PR,Bahia,2,0,,,52%,48%,15,8,7,6,6,2,2,0,10,19,5,3,5,0,20,23,6,5,14,9,,,2,1,512,476,439,395,,,97,96,43,35,2
16.07.2023 16:30,Internacional,Palmeiras,0,0,,,50%,50%,9,15,4,5,4,7,1,3,14,19,4,7,0,2,24,16,5,4,18,13,,,1,3,410,434,340,365,,,90,163,51,48,0
16.07.2023 14:00,Fluminense,Flamengo,0,0,0.87,0.35,52%,48%,15,8,8,3,4,3,3,2,19,26,8,1,1,1,15,16,3,8,25,20,0,1,7,5,471,360,396,306,,,102,93,53,51,0
16.07.2023 14:00,Fortaleza,Cuiabá,0,1,0.83,0.67,63%,37%,20,8,6,1,9,6,5,1,16,19,10,0,1,2,40,23,0,6,17,17,,,5,4,518,216,435,162,,,136,76,70,27,-1
16.07.2023 14:00,Sao Paulo,Santos,4,1,3.91,0.41,59%,41%,23,8,7,3,11,4,5,1,16,20,4,3,2,2,15,24,2,3,20,15,,,3,5,478,275,421,201,,,101,85,41,32,3
16.07.2023 09:00,Cruzeiro,Coritiba,0,0,0.81,0.99,53%,47%,11,15,2,6,8,7,1,2,16,15,11,8,1,5,21,24,6,2,14,11,,,1,4,445,344,359,264,,,100,105,46,49,0
15.07.2023 19:00,Botafogo,Bragantino,2,0,0.96,1.04,43%,57%,9,16,3,8,6,5,0,3,13,17,4,11,1,3,23,29,8,1,15,11,,,1,1,313,558,225,446,,,78,153,28,52,2
